"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.00519212114815204,0.00489069787542662,0.00467367024636256,0.00459429849422499,0.00493501632913473,0.00511649025950256,0.00527116056964494,0.00583120910612323,0.00602084610315312,0.0068509979585416,0.00792627097911625
1,0.00605449993860263,0.00570315580718106,0.00545017370486833,0.00535765032004731,0.0057548152681216,0.00596634494541803,0.00614662670780441,0.00679937314316958,0.00702038452239706,0.00798779766849289,0.00924066122999745
2,0.00433229466503593,0.00408068530982819,0.00389953200834048,0.00383328191987342,0.00411767879862368,0.0042691615256566,0.00439827393994263,0.00486580730550457,0.00502412781721995,0.00571724815233843,0.00661517094275865
3,0.00311468136383486,0.00293368388291204,0.00280337757576177,0.00275572455196171,0.00296029467874515,0.00306926475523006,0.00316214628677958,0.00349851114118116,0.00361242422922503,0.00411119086991063,0.00475747809667804
4,0.0023516195706168,0.00221491515931826,0.00211650072373271,0.00208051134684162,0.0022350134727056,0.00231731658330447,0.00238747005140194,0.00264154001532946,0.00272758794077399,0.00310437582770973,0.0035926754053055
5,0.00186889705402193,0.00176022952048538,0.00168200091771242,0.00165339373528883,0.00177620565396153,0.00184162902153229,0.00189739542146539,0.00209936747931228,0.00216777338271179,0.00246732441430697,0.00285556323052771
6,0.00155523038367023,0.00146478770009639,0.00139967999692492,0.0013758711707933,0.0014780843404949,0.00153253537216103,0.00157894950649839,0.00174705362562289,0.00180399009452403,0.00205332392961477,0.00237649650596039
7,0.00134613688557383,0.0012678460790263,0.00121148683604899,0.00119087730270107,0.00127935612328511,0.00132649108565797,0.00136666926548568,0.00151218991876612,0.00156147816841667,0.00177732369254957,0.0020571013894749
8,0.00120391701213884,0.0011338929625424,0.00108348507334477,0.00106505191514694,0.00114418762033053,0.00118634556539721,0.00122228146606151,0.00135243836129506,0.00139652331801488,0.00158958503610496,0.00183983706547231
9,0.00110586750939745,0.00104154338995921,0.000995238910629026,0.000978306335000512,0.00105100004360281,0.00108972633698934,0.00112273716480171,0.00124230049535035,0.00128279763315031,0.00146014889390766,0.00169004074558554
10,0.00105190309733927,0.000990716326280672,0.000946670423423224,0.000930563786666783,0.000999711728482566,0.00103654917734275,0.00106794998302107,0.00118168232957172,0.0012202046131865,0.00138890818877524,0.00160759264218657
