"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.00180461453953318,0.00169968154726385,0.00162414164452263,0.00159651773561298,0.00171510860957358,0.00177828358155674,0.00183213357808176,0.00202716576545037,0.00209322151262592,0.00238248299206489,0.0027573902880802
1,0.00210494492278734,0.00198256595665958,0.00189446559648498,0.00186224822282843,0.00200055802946475,0.00207423642768934,0.00213703887332173,0.00236449002886918,0.00244152412679088,0.00277885035709469,0.00321602938172494
2,0.0015053422307798,0.00141779867664804,0.00135477815071883,0.00133173260423147,0.00143066907886247,0.00148337468123549,0.00152830108208724,0.00169101744413769,0.00174612929182816,0.00198747400965671,0.00230029441945168
3,0.00108182676474511,0.0010189002909643,0.000973601977974026,0.000957037347648626,0.00102815146326618,0.00106603630225566,0.00109832988793046,0.00121529560278089,0.00125491297464564,0.00142841184144205,0.00165331101891342
4,0.000816587504018029,0.000769083227475376,0.000734887206817025,0.000722382543801858,0.000776067050420992,0.000804666943520438,0.000829046116831433,0.00091734785325237,0.000947257044942695,0.0010782436911082,0.00124804439917126
5,0.000648862208173284,0.000611112222600685,0.000583938070350509,0.000574001183584194,0.000616661999090273,0.000639389321395734,0.000658762692671067,0.000728934150994176,0.000752702620266943,0.000856797830160905,0.000991742785619421
6,0.00053990493268663,0.000508492331284138,0.000485880239041947,0.000477611605769535,0.000513110411062279,0.000532022314479796,0.000548143378711674,0.000606535234407679,0.000626313874020124,0.000712936354603677,0.000825232604042325
7,0.000467285284152297,0.000440096889026909,0.00042052562667716,0.000413368957891902,0.00044409394580347,0.000460462669397033,0.000474415885041823,0.000524955863596355,0.000542074985251273,0.000617050384613682,0.000714248812014429
8,0.000417896991059541,0.000393581624652972,0.000376078523194434,0.000369678132633333,0.000397156303497792,0.00041179532321467,0.000424274104794731,0.000469473686057431,0.000484783939863842,0.000551837495971097,0.0006387668035992
9,0.000383850291989285,0.00036151557696007,0.000345438249136576,0.000339559229510344,0.000364799071211785,0.000378245642180142,0.00038970795392157,0.000431225862201012,0.000445289073924604,0.000506881228721556,0.00058673078917082
10,0.00036511262629213,0.000343867993637836,0.000328575360495909,0.000322983284302691,0.00034699123011761,0.000359781518425084,0.000370684399268795,0.000410176030865461,0.00042355290733509,0.000482139251962388,0.000558092269735799
