"AGE","STAGE","YEARS","OD_PROB_1Y","CD_PROB_1Y","OD_PROB_1M","CD_PROB_1M"
"(0,29]","Localized",0,0.0044366569680151,0.0120687813327041,0.000370475368548506,0.00101133828496869
"(0,29]","Localized",1,0.00525883746803646,0.0143627269469575,0.000439296299793779,0.00120484603041104
"(0,29]","Localized",2,0.00575619328010579,0.01071373863702,0.000480952972617854,0.000897225916886124
"(0,29]","Localized",3,0.00613045416014391,0.00785810493582806,0.000512312268922788,0.000657212486805281
"(0,29]","Localized",4,0.0064363698926645,0.00603032139456716,0.000537952970732669,0.000503921090090564
"(0,29]","Localized",5,0.00669564135026834,0.00485672461525555,0.000559689791934881,0.000405630778609334
"(0,29]","Localized",6,0.00692061921285803,0.00408508904059079,0.000578555718917295,0.000341063142288434
"(0,29]","Localized",7,0.00711976125557479,0.00356554704012768,0.000595258405412968,0.000297615599792134
"(0,29]","Localized",8,0.00729866040943439,0.00320904149438039,0.000610265874144367,0.000267814257201793
"(0,29]","Localized",9,0.0074612245283886,0.00296128112390071,0.000623905181728723,0.000247108996218603
"(0,29]","Localized",10,0.00757453646094597,0.00282403500541184,0.000633413388128279,0.000235641408500631
"(0,29]","Regional",0,0.00427865957736462,0.0359830210381731,0.000357256105087189,0.00304920599090397
"(0,29]","Regional",1,0.00507163539001554,0.0427229720542598,0.000423621895411785,0.00363192637829357
"(0,29]","Regional",2,0.00555133597127389,0.0319868371149453,0.000463792573381694,0.0027054664260433
"(0,29]","Regional",3,0.00591231691436267,0.0235289920296252,0.000494033246722037,0.00198221771016027
"(0,29]","Regional",4,0.00620738141099952,0.0180895921294197,0.000518759339717567,0.00152011088737092
"(0,29]","Regional",5,0.00645745870526448,0.014586363039831,0.000539720822015921,0.00122373312373047
"(0,29]","Regional",6,0.00667446039568875,0.0122784548005894,0.000557913826295553,0.00102900835746478
"(0,29]","Regional",7,0.00686654369104578,0.010722506620932,0.000574020760248817,0.000897963835472582
"(0,29]","Regional",8,0.00703910279515474,0.0096538798579886,0.000588492949772701,0.000808071721553172
"(0,29]","Regional",9,0.00719590672799442,0.00891076274978264,0.000601645783793625,0.000745613644136389
"(0,29]","Regional",10,0.00730520418489811,0.00849895481300411,0.000610814864520304,0.000711020178236654
"(0,29]","Distant",0,0.00656876146349095,0.22297166514332,0.000549051776100762,0.0208037581292158
"(0,29]","Distant",1,0.00778450608310144,0.259609923504466,0.000651034944526119,0.024737072498065
"(0,29]","Distant",2,0.00851970271973257,0.200525256840556,0.000712762767877462,0.0184771925225565
"(0,29]","Distant",3,0.00907282221650307,0.151183872750306,0.000759230881671069,0.0135665248153013
"(0,29]","Distant",4,0.00952485995547214,0.11809529336428,0.00079722467646659,0.0104179591249832
"(0,29]","Distant",5,0.00990792104048954,0.0962061540306748,0.000829433423820691,0.00839407064705688
"(0,29]","Distant",6,0.0102402759285432,0.0815333824302799,0.000857387921810893,0.00706241969388866
"(0,29]","Distant",7,0.0105344338364187,0.071526784404976,0.000882136836111935,0.0061653942712423
"(0,29]","Distant",8,0.0107986661900225,0.0646003945105025,0.000904373720974516,0.00554966468564044
"(0,29]","Distant",9,0.0110387519424276,0.0597578290580401,0.000924583232781107,0.00512165671391962
"(0,29]","Distant",10,0.0112060875017644,0.0570650432132632,0.000938671567936367,0.00488452948882945
"(29,39]","Localized",0,0.00150932738410148,0.011665460154845,0.000125864375589257,0.000977358362654668
"(29,39]","Localized",1,0.001789516394058,0.0138832855085257,0.000149248818896552,0.00116436823745103
"(29,39]","Localized",2,0.00195908337871353,0.0103554633500406,0.000163403722538091,0.000867078388238629
"(29,39]","Localized",3,0.00208671968487106,0.00759495730354498,0.00017405984298946,0.000635127043291273
"(29,39]","Localized",4,0.00219107143320751,0.00582820162054909,0.000182772906853979,0.000486985706289578
"(29,39]","Localized",5,0.00227952883695604,0.00469384764535352,0.00019015949388379,0.000391998010525807
"(29,39]","Localized",6,0.00235629841720542,0.00394803857723136,0.000196570582210676,0.000329600057893287
"(29,39]","Localized",7,0.00242426157854292,0.00344589649895966,0.000202246616933244,0.000287612571133744
"(29,39]","Localized",8,0.00248532392569334,0.00310133573190019,0.000207346623208982,0.000258812738863301
"(29,39]","Localized",9,0.00254081705578002,0.00286187905452417,0.000211981729489441,0.000238803320318559
"(29,39]","Localized",10,0.00257950093568871,0.00272923360301391,0.000215212970073986,0.000227721130220959
"(29,39]","Regional",0,0.00145550131866268,0.0347947336801165,0.0001213727662005,0.00294685688909391
"(29,39]","Regional",1,0.00172570678553263,0.0413169154074973,0.000143922769857308,0.00351005224374479
"(29,39]","Regional",2,0.00188923316588829,0.0309283918187354,0.000157572585614218,0.00261464008952561
"(29,39]","Regional",3,0.00201232324794076,0.0227471215052437,0.000167848469430631,0.0019156485327213
"(29,39]","Regional",4,0.00211295855253957,0.0174868518387752,0.000176250632611508,0.00146904930377389
"(29,39]","Regional",5,0.00219826587710814,0.01409950993533,0.000183373652524188,0.00118262117907042
"(29,39]","Regional",6,0.00227230181502314,0.0118681688097216,0.000189555982858192,0.000994435034499919
"(29,39]","Regional",7,0.00233784508623391,0.0103639396645574,0.000195029488669451,0.000867791522923156
"(29,39]","Regional",8,0.00239673338892887,0.00933087966018342,0.000199947520485577,0.000780918676324571
"(29,39]","Regional",9,0.00245025087078365,0.00861251756913906,0.000204417241283394,0.000720558575349695
"(29,39]","Regional",10,0.00248755760273045,0.00821443574247671,0.00020753318823219,0.000687127163873646
"(29,39]","Distant",0,0.00223623845979914,0.216354101550109,0.000186544479657713,0.0201115121827548
