"YEARS","AGE_0_29","AGE_29_39","AGE_39_44","AGE_44_49","AGE_49_54","AGE_54_59","AGE_59_64","AGE_64_69","AGE_69_74","AGE_74_79","AGE_79_84"
0,0.0208037581292158,0.0201115121827548,0.0193487110666162,0.0203164005222444,0.0207854431752929,0.0203468921485188,0.020719428698613,0.0242410220083729,0.0274407546828866,0.0307179452453424,0.0384067119593391
1,0.024737072498065,0.0239155509774738,0.0230101695634032,0.0241587133931381,0.0247153386940084,0.0241949001620143,0.0246370006575101,0.0288145907634395,0.0326078627127505,0.036490484655865,0.0455898073679321
2,0.0184771925225565,0.0178616553049654,0.0171834380765635,0.0180438345689371,0.0184609064414785,0.0180709469823186,0.0184022051256962,0.0215342967399967,0.0243812332557058,0.0272981835678405,0.034146152404457
3,0.0135665248153013,0.013113484203446,0.0126143985410289,0.013247561768604,0.0135545371425456,0.0132675161253885,0.013511329389391,0.0158177071891399,0.0179158198789008,0.020067230766909,0.025124781943357
4,0.0104179591249832,0.0100695245041392,0.00968571972079646,0.0101726399924317,0.0104087388963148,0.0101879866367965,0.0103755061936724,0.0121499030143112,0.013764915255578,0.0154217896567117,0.0193201286059566
5,0.00839407064705688,0.00811304839439686,0.00780352145171714,0.0081962119048069,0.00838663402651318,0.00820858924732537,0.00835983013976571,0.00979121838322716,0.0110944687578659,0.0124319329790848,0.0155804887935381
6,0.00706241969388866,0.00682582575746959,0.00656524594051811,0.00689584039025171,0.00705615863110753,0.00690626084667578,0.00703359188113917,0.00823884338197578,0.00933644202991135,0.0104630950766174,0.013116335208479
7,0.0061653942712423,0.0059587608098618,0.00573118611659573,0.00601990866319879,0.00615992598151893,0.00602900950117202,0.00614021666010989,0.00719293769738205,0.00815177168995151,0.00913612764158456,0.0114548260869688
8,0.00554966468564044,0.0053636117006709,0.00515870769040172,0.00541866888830311,0.00554474098194779,0.00542686326128194,0.00552699453097172,0.00647492341217304,0.00733839874597342,0.00822494477886571,0.0103135959615726
9,0.00512165671391962,0.00494991699570668,0.00476077935708996,0.00500073831277703,0.00511711176432406,0.0050083022634464,0.00510073046700488,0.00597577114881909,0.0067729082739959,0.00759139943070586,0.00951994100732922
10,0.00488452948882945,0.00472072225749087,0.00454032221669032,0.00476919605173476,0.00488019444903265,0.00477641062051859,0.00486456973424854,0.00569921272561691,0.00645957838798039,0.00724034250525873,0.00908010926553982
