"AGE","STAGE","YEARS","OD_PROB_1Y","CD_PROB_1Y","OD_PROB_1M","CD_PROB_1M"
"(0,29]","Localized",0,0.00687051392837634,0.0214417243527762,0.000574353710264819,0.00180461453953318
"(0,29]","Localized",1,0.00816704608505459,0.0249689488884557,0.000683148140306455,0.00210494492278734
"(0,29]","Localized",2,0.0088592126208531,0.0179152950498446,0.000741282511736885,0.0015053422307798
"(0,29]","Localized",3,0.00932826295889,0.0129049560015818,0.000780698736198349,0.00108182676474511
"(0,29]","Localized",4,0.00967936751875809,0.00975515982123498,0.000810214689955902,0.000816587504018029
"(0,29]","Localized",5,0.00996723664360555,0.00775861904830644,0.000834421851450662,0.000648862208173284
"(0,29]","Localized",6,0.0102174202524532,0.00645965494980449,0.000855465246567655,0.00053990493268663
"(0,29]","Localized",7,0.0104407457290769,0.00559303436836922,0.000874253674836956,0.000467285284152297
"(0,29]","Localized",8,0.010643901829783,0.00500325383229261,0.00089134862491691,0.000417896991059541
"(0,29]","Localized",9,0.0108313111268806,0.00459649142657159,0.000907121384321585,0.000383850291989285
"(0,29]","Localized",10,0.0109637599061082,0.00437256393741536,0.000918270203472571,0.00036511262629213
"(0,29]","Regional",0,0.00681419831815611,0.0605566543224745,0.000569631113397473,0.00519212114815204
"(0,29]","Regional",1,0.00810014658361236,0.0702828072422222,0.000677531289519528,0.00605449993860263
"(0,29]","Regional",2,0.00878666846388831,0.0507665121366079,0.000735187855417596,0.00433229466503593
"(0,29]","Regional",3,0.0092518959123834,0.0367424957507134,0.000774280134211658,0.00311468136383486
"(0,29]","Regional",4,0.00960014005888166,0.0278572932417693,0.000803553516842026,0.0023516195706168
"(0,29]","Regional",5,0.00988566470065166,0.0221976714790452,0.000827561741795102,0.00186889705402193
"(0,29]","Regional",6,0.0101338113019254,0.0185039523473517,0.000848432204362592,0.00155523038367023
"(0,29]","Regional",7,0.0103553188870245,0.0160345800760411,0.000867066234232716,0.00134613688557383
"(0,29]","Regional",8,0.0105568216340599,0.0143517255352998,0.000884020704979505,0.00120391701213884
"(0,29]","Regional",9,0.0107427060321182,0.0131899926700029,0.000899663852391264,0.00110586750939745
"(0,29]","Regional",10,0.010874077285949,0.0125500636195119,0.000910721057810981,0.00105190309733927
"(0,29]","Distant",0,0.0105858021829363,0.301456582783745,0.000886459392955397,0.029454015646077
"(0,29]","Distant",1,0.0125789917729089,0.341984417352409,0.00105434188020326,0.0342760215315207
"(0,29]","Distant",2,0.0136424960896215,0.258601992148303,0.00114404591866013,0.0246265018109886
"(0,29]","Distant",3,0.0143629559883582,0.193450253456195,0.00120486537199782,0.0177562744933364
"(0,29]","Distant",4,0.0149021301862154,0.149777832887482,0.00125040779862007,0.0134304614942251
"(0,29]","Distant",5,0.0153441192781977,0.120955200430416,0.00128775833700978,0.0106857816981694
"(0,29]","Distant",6,0.0157281899635124,0.101712723428684,0.00132022692948297,0.00889894744385766
"(0,29]","Distant",7,0.0160709846664289,0.0886555101477391,0.00134921594036908,0.00770634505386081
"(0,29]","Distant",8,0.0163827837424807,0.0796676447206415,0.00137559179517521,0.00689449138844556
"(0,29]","Distant",9,0.0166703841418222,0.0734203988603543,0.00139992742001838,0.00633446224718492
"(0,29]","Distant",10,0.0168736236523767,0.0699642335374056,0.00141712869001231,0.00602612256532586
"(29,39]","Localized",0,0.00176450576467913,0.0202065861539839,0.00014716119894953,0.00169968154726385
"(29,39]","Localized",1,0.00209850271000822,0.0235330807578662,0.000175043649078943,0.00198256595665958
"(29,39]","Localized",2,0.00227694327333361,0.0168815390187015,0.000189943579293361,0.00141779867664804
"(29,39]","Localized",3,0.00239791716767801,0.0121585172553929,0.000200046385998132,0.0010189002909643
"(29,39]","Localized",4,0.00248849926911654,0.00919006036096703,0.000207611839829758,0.000769083227475376
"(29,39]","Localized",5,0.00256278496972284,0.00730874857389419,0.000213816681671641,0.000611112222600685
"(29,39]","Localized",6,0.00262735883298404,0.00608487161374704,0.000219210669638148,0.000508492331284138
"(29,39]","Localized",7,0.00268501071073224,0.00526839817469571,0.000224026720377912,0.000440096889026909
"(29,39]","Localized",8,0.00273746423442278,0.00471276906831486,0.000228408739220476,0.000393581624652972
"(29,39]","Localized",9,0.00278585914531237,0.00432957153775626,0.00023245188495824,0.00036151557696007
"(29,39]","Localized",10,0.00282006565409398,0.00411862067909441,0.00023530977121744,0.000343867993637836
"(29,39]","Regional",0,0.00175000576935713,0.057135180067486,0.000145950916318416,0.00489069787542662
"(29,39]","Regional",1,0.00208126092512384,0.0663314458350344,0.000173604075604628,0.00570315580718106
"(29,39]","Regional",2,0.00225823703896433,0.0478840051795613,0.000188381479102717,0.00408068530982819
"(29,39]","Regional",3,0.00237821825690976,0.0346416957524494,0.000198401208346133,0.00293368388291204
"(29,39]","Regional",4,0.00246805714646114,0.026257574524562,0.000205904450437111,0.00221491515931826
"(29,39]","Regional",5,0.00254173339466157,0.0209194544414563,0.000212058269381643,0.00176022952048538
"(29,39]","Regional",6,0.0026057775197329,0.0174365317569176,0.00021740790242053,0.00146478770009639
"(29,39]","Regional",7,0.00266295647331261,0.0151085094042848,0.00022218435082888,0.0012678460790263
"(29,39]","Regional",8,0.00271497973907675,0.0135221783886599,0.000226530336543629,0.0011338929625424
"(29,39]","Regional",9,0.0027629777033833,0.0124271710376395,0.000230540235829801,0.00104154338995921
"(29,39]","Regional",10,0.00279690365379093,0.011824029125348,0.00023337462200812,0.000990716326280672
"(29,39]","Distant",0,0.00272246248277042,0.286718751516988,0.000227155456594574,0.0277639198539654
"(29,39]","Distant",1,0.00323749334176016,0.325760485317181,0.000270192271656811,0.0323138688981922
"(29,39]","Distant",2,0.00351261433070416,0.245578649005014,0.00029319018180074,0.0232100912589462
"(29,39]","Distant",3,0.00369911756756292,0.183295588976253,0.000308783668353296,0.0167316159665689
"(29,39]","Distant",4,0.00383875828444158,0.141711305673134,0.000320460743778672,0.0126538220876801
"(29,39]","Distant",5,0.00395327144209423,0.114335221624518,0.00033003771517337,0.0100670474353398
"(29,39]","Distant",6,0.00405280980686884,0.0960876522601409,0.000338363133753239,0.00838323668698104
